municipality,year,inc
Copenhagen,2004,233204.0
Frederiksberg,2004,276111.0
Dragør,2004,326324.0
Tårnby,2004,264299.0
Albertslund,2004,253319.0
Ballerup,2004,282848.0
Brøndby,2004,248763.0
Gentofte,2004,387834.0
Gladsaxe,2004,286258.0
Glostrup,2004,268809.0
Herlev,2004,277573.0
Hvidovre,2004,250753.0
Høje-Taastrup,2004,277097.0
Ishøj,2004,244009.0
Lyngby-Taarbæk,2004,339415.0
Rødovre,2004,259258.0
Vallensbæk,2004,286398.0
Allerød,2004,319024.0
Egedal,2004,301253.0
Fredensborg,2004,330059.0
Frederikssund,2004,285958.0
Furesø,2004,333173.0
Gribskov,2004,280171.0
Halsnæs,2004,254522.0
Helsingør,2004,310047.0
Hillerød,2004,298925.0
Hørsholm,2004,403351.0
Rudersdal,2004,397494.0
Bornholm,2004,0.0
Greve,2004,303394.0
Køge,2004,291520.0
Lejre,2004,296184.0
Roskilde,2004,302662.0
Solrød,2004,328050.0
Faxe,2004,262409.0
Guldborgsund,2004,271373.0
Holbæk,2004,279993.0
Kalundborg,2004,269615.0
Lolland,2004,263412.0
Næstved,2004,287985.0
Odsherred,2004,254701.0
Ringsted,2004,282850.0
Slagelse,2004,269613.0
Sorø,2004,275422.0
Stevns,2004,274829.0
Vordingborg,2004,268494.0
Assens,2004,264249.0
Faaborg-Midtfyn,2004,267961.0
Kerteminde,2004,286134.0
Langeland,2004,210984.0
Middelfart,2004,294295.0
Nordfyns,2004,263175.0
Nyborg,2004,254186.0
Odense,2004,258493.0
Svendborg,2004,276020.0
Ærø,2004,234535.0
Billund,2004,290396.0
Esbjerg,2004,288592.0
Fanø,2004,256563.0
Fredericia,2004,281001.0
Haderslev,2004,278125.0
Kolding,2004,282126.0
Sønderborg,2004,279394.0
Tønder,2004,275559.0
Varde,2004,287498.0
Vejen,2004,272069.0
Vejle,2004,296382.0
Aabenraa,2004,275284.0
Favrskov,2004,263959.0
Hedensted,2004,295571.0
Horsens,2004,268414.0
Norddjurs,2004,260858.0
Odder,2004,264008.0
Randers,2004,266751.0
Samsø,2004,240419.0
Silkeborg,2004,282888.0
Skanderborg,2004,276969.0
Syddjurs,2004,255748.0
Aarhus,2004,261528.0
Herning,2004,306255.0
Holstebro,2004,294860.0
Ikast-Brande,2004,330063.0
Lemvig,2004,271522.0
Ringkøbing-Skjern,2004,284255.0
Skive,2004,286290.0
Struer,2004,288972.0
Viborg,2004,281526.0
Brønderslev,2004,262467.0
Frederikshavn,2004,285123.0
Hjørring,2004,287580.0
Jammerbugt,2004,264278.0
Læsø,2004,195271.0
Mariagerfjord,2004,272326.0
Morsø,2004,290578.0
Rebild,2004,271016.0
Thisted,2004,280939.0
Vesthimmerlands,2004,268687.0
Aalborg,2004,255828.0
Copenhagen,2005,244462.0
Frederiksberg,2005,291299.0
Dragør,2005,330289.0
Tårnby,2005,273414.0
Albertslund,2005,260060.0
Ballerup,2005,297137.0
Brøndby,2005,261677.0
Gentofte,2005,452667.0
Gladsaxe,2005,308847.0
Glostrup,2005,281402.0
Herlev,2005,290498.0
Hvidovre,2005,261136.0
Høje-Taastrup,2005,286037.0
Ishøj,2005,259037.0
Lyngby-Taarbæk,2005,366432.0
Rødovre,2005,265492.0
Vallensbæk,2005,301495.0
Allerød,2005,331157.0
Egedal,2005,316126.0
Fredensborg,2005,333603.0
Frederikssund,2005,304270.0
Furesø,2005,356557.0
Gribskov,2005,295060.0
Halsnæs,2005,276659.0
Helsingør,2005,334402.0
Hillerød,2005,319468.0
Hørsholm,2005,439650.0
Rudersdal,2005,440267.0
Bornholm,2005,0.0
Greve,2005,326506.0
Køge,2005,298013.0
Lejre,2005,303727.0
