municipality,km2
Copenhagen,90.1
Frederiksberg,8.7
Dragør,18.3
Tårnby,66.1
Albertslund,23.4
Ballerup,33.9
Brøndby,21.0
Gentofte,25.6
Gladsaxe,24.9
Glostrup,13.3
Herlev,12.1
Hvidovre,22.9
Høje-Taastrup,78.2
Ishøj,26.5
Lyngby-Taarbæk,38.8
Rødovre,12.2
Vallensbæk,9.5
Allerød,67.4
Egedal,125.8
Fredensborg,112.1
Frederikssund,248.5
Furesø,56.8
Gribskov,279.5
Halsnæs,122.0
Helsingør,118.9
Hillerød,213.5
Hørsholm,31.3
Rudersdal,73.3
Bornholm,588.5
Christiansø,0.0
Greve,60.4
Køge,257.5
Lejre,239.0
Roskilde,211.8
Solrød,40.1
Faxe,404.9
Guldborgsund,900.6
Holbæk,577.3
Kalundborg,575.5
Lolland,886.6
Næstved,676.8
Odsherred,354.1
Ringsted,294.7
Slagelse,568.5
Sorø,308.5
Stevns,250.1
Vordingborg,620.1
Assens,511.6
Faaborg-Midtfyn,633.6
Kerteminde,206.3
Langeland,290.7
Middelfart,298.9
Nordfyns,452.3
Nyborg,276.8
Odense,305.6
Svendborg,415.4
Ærø,90.1
Billund,540.2
Esbjerg,795.4
Fanø,61.1
Fredericia,133.6
Haderslev,816.8
Kolding,604.4
Sønderborg,496.5
Tønder,1283.9
Varde,1240.1
Vejen,813.7
Vejle,1058.6
Aabenraa,940.7
Favrskov,540.6
Hedensted,551.0
Horsens,519.5
Norddjurs,721.0
Odder,223.7
Randers,747.8
Samsø,113.6
Silkeborg,850.4
Skanderborg,416.9
Syddjurs,689.8
Aarhus,468.1
Herning,1321.1
Holstebro,793.0
Ikast-Brande,733.5
Lemvig,509.7
Ringkøbing-Skjern,1473.5
Skive,683.5
Struer,246.2
Viborg,1408.9
Brønderslev,633.1
Frederikshavn,652.6
Hjørring,926.9
Jammerbugt,864.1
Læsø,122.0
Mariagerfjord,718.3
Morsø,366.5
Rebild,621.3
Thisted,1072.2
Vesthimmerlands,769.7
Aalborg,1137.3
